"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"1","f",-2.40994943109987,0.0163813451591304,0.0135170622747955,610.919603138571,0.0429268910797415,-0.0101642007614807,"0-10m"
"2","m",-2.40994943109987,0.0300893101687512,0.0190175689708308,632.197959955277,0.0674345567945814,-0.00725593645707894,"0-10m"
"3","f",-1.40994943109987,0.00728931203897026,0.00930174347610294,584.906605524822,0.0255581972278924,-0.0109795731499519,"0-10m"
"4","m",-1.40994943109987,0.021877615057296,0.0133995742107417,639.213193031528,0.0481901195986285,-0.00443488948403656,"0-10m"
"5","f",-0.409949431099873,-0.0018027210811899,0.00646266274196339,498.531620697539,0.010894691355657,-0.0145001335180368,"0-10m"
"6","m",-0.409949431099873,0.0136659199458407,0.00864299536153317,631.154200818124,0.0306384266682696,-0.00330658677658822,"0-10m"
"7","f",0.590050568900127,-0.0108947542013501,0.00696000765833726,486.689760005759,0.00278061838663818,-0.0245701267893383,"0-10m"
"8","m",0.590050568900127,0.00545422483438542,0.00686485753175111,544.457831511212,0.0189390748756039,-0.00803062520683307,"0-10m"
"9","f",1.59005056890013,-0.0199867873215102,0.0103222828075227,556.044871076509,0.000288647873899731,-0.0402622225169201,"0-10m"
"10","m",1.59005056890013,-0.00275747027706985,0.00983988258895609,619.081264220338,0.0165661234448779,-0.0220810639990176,"0-10m"
"11","f",2.59005056890013,-0.0290788204416704,0.0146999815299019,587.26733870636,-0.000207884884374469,-0.0579497559989662,"0-10m"
"12","m",2.59005056890013,-0.0109691653885251,0.0149596935168836,641.574830748294,0.0184067124418827,-0.040345043218933,"0-10m"
"13","f",3.59005056890013,-0.0381708535618305,0.0194180717494567,600.125411580286,-3.52210302561257e-05,-0.0763064860934049,"0-10m"
"14","m",3.59005056890013,-0.0191808604999804,0.0206889751122471,640.785214841924,0.0214455213237541,-0.0598072423237149,"0-10m"
"15","f",-2.40994943109987,0.0121723040949952,0.011050325684684,601.86014388,0.0338741862703928,-0.00952957808040236,"10-30m"
"16","m",-2.40994943109987,0.0255122175419746,0.0145168036500382,535.805488781452,0.0540290457730381,-0.00300461068908896,"10-30m"
"17","f",-1.40994943109987,0.00788971678721669,0.00785882457160682,636.040261979913,0.023322096268738,-0.00754266269430461,"10-30m"
"18","m",-1.40994943109987,0.0172724863436682,0.0105006273058783,589.409850115153,0.0378956863047675,-0.00335071361743116,"10-30m"
"19","f",-0.409949431099873,0.00360712947943813,0.00582153134784449,608.478590227002,0.0150398620650989,-0.00782560310622266,"10-30m"
"20","m",-0.409949431099873,0.00903275514536178,0.00723116180027249,638.850436484853,0.0232324737086485,-0.00516696341792495,"10-30m"
"21","f",0.590050568900127,-0.000675457828340421,0.00620459575617319,627.821211535547,0.0115088154335973,-0.0128597310902781,"10-30m"
"22","m",0.590050568900127,0.000793023947055391,0.00606771536148938,622.843703693507,0.0127086822949006,-0.0111226344007898,"10-30m"
"23","f",1.59005056890013,-0.00495804513611898,0.00869376025883219,624.28222172828,0.0121145111870749,-0.0220306014593128,"10-30m"
