"","sex","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"1","f",-0.00529408968900355,0.00618437546850987,469.593862172418,0.00685838472968691,-0.017446564107694,"0-10m"
"2","m",0.0105126038337931,0.00741439749179302,597.267915887163,0.0250740636695655,-0.0040488560019794,"0-10m"
"3","f",0.00199281182228617,0.00564029435180861,597.935742379633,0.0130700077104333,-0.00908438406586093,"10-30m"
"4","m",0.00592679545256667,0.00643944795563237,626.005097518569,0.0185723305169429,-0.00671873961180953,"10-30m"
"5","f",-0.000260625165743107,0.00496734854637496,639.793079193569,0.00949365167939789,-0.0100149020108841,"0-30m"
"6","m",0.0074173974692427,0.00559756056224329,690.054605590838,0.0184076911012049,-0.00357289616271954,"0-30m"
"7","f",0.00482935705120836,0.00646126523361368,707.311894006898,0.017514911303734,-0.00785619720131726,"30-60m"
"8","m",0.00560760930537769,0.00721015987639531,723.830476423709,0.0197629323474859,-0.00854771373673049,"30-60m"
"9","f",0.00334865449569085,0.00530991058622606,692.53818431841,0.0137741082537762,-0.00707679926239449,"0-60m"
"10","m",0.00729421605554527,0.00589523308788576,711.761087766292,0.0188683420508968,-0.00427990993980629,"0-60m"
"11","f",0.0768631687934042,0.012309352391902,679.683823898694,0.0526942433220665,0.101032094264742,"FOST"
"12","m",0.11895138079159,0.0139402418904344,727.376599353098,0.0915834694856691,0.146319292097511,"FOST"
"13","f",0.0233152427434367,0.0139185408400593,526.703845589208,-0.00402742690592275,0.0506579123927961,"TH"
"14","m",-0.0431494396867623,0.0166210413856992,628.107572588869,-0.075788976534773,-0.0105099028387516,"TH"
"15","f",-0.0173673103057511,0.0148987637614931,656.654250295596,-0.0466222725796672,0.0118876519681649,"CMJ"
"16","m",0.0245666138666584,0.0163320318684473,681.13043080429,-0.00750056180639118,0.056633789539708,"CMJ"
"17","f",-0.0540441479745443,0.0250676114716846,649.038501041117,-0.103267555323394,-0.0048207406256943,"DJ"
"18","m",-0.0031250943978398,0.0280046449740768,698.336667114432,-0.0581084848830284,0.0518582960873488,"DJ"
"19","f",-0.0222714208966947,0.0134065588780341,508.662896430678,-0.0486104646611493,0.00406762286775998,"12MR"
"20","m",-0.0186105301350705,0.0156385883752987,545.747211850702,-0.0493297268761436,0.0121086666060027,"12MR"
"21","f",0.0322425206180448,0.0102823447019717,565.384399384971,0.0120462611575714,0.0524387800785182,"FJT"
"22","m",0.00290909543883482,0.0122777890979455,647.404083268412,-0.0212000010826745,0.0270181919603441,"FJT"
"23","f",-0.22123278430605,0.0881316044375543,408.133370818716,-0.394481315660071,-0.0479842529520283,"SUs"
"24","m",-0.228829470307118,0.101745564647795,450.10749861642,-0.428784778338839,-0.0288741622753958,"SUs"
"25","f",-0.425077989065069,0.136826087345795,251.286553628864,-0.694550037416472,-0.155605940713665,"SUb"
"26","m",-0.286483412121111,0.147910292261471,291.825446829982,-0.577589549285339,0.00462272504311745,"SUb"
